(X,Y)			(X,X)			(Y,X)			(Y,Y)
k1[0] = 0.804505	k2[0] = 0.831437	k3[0] = 0.777105	k4[0] = 0.814932

k1[1] = 0.864393	k2[1] = 0.831437	k3[1] = 0.846478	k4[1] = 0.868177

k1[2] = 0.850099	k2[2] = 0.831437	k3[2] = 0.828365	k4[2] = 0.861421

k1[3] = 0.852137	k2[3] = 0.831437	k3[3] = 0.826164	k4[3] = 0.867388

k1[4] = 0.850486	k2[4] = 0.831437	k3[4] = 0.823323	k4[4] = 0.867641

k1[5] = 0.828406	k2[5] = 0.831437	k3[5] = 0.789478	k4[5] = 0.801418

k1[6] = 0.828474	k2[6] = 0.831437	k3[6] = 0.789500	k4[6] = 0.802511

k1[7] = 0.853111	k2[7] = 0.831437	k3[7] = 0.819186	k4[7] = 0.885066

k1[8] = 0.835763	k2[8] = 0.831437	k3[8] = 0.796064	k4[8] = 0.845852

k1[9] = 0.827042	k2[9] = 0.831437	k3[9] = 0.788302	k4[9] = 0.845763

k1[10] = 0.881379	k2[10] = 0.831437	k3[10] = 0.850136	k4[10] = 0.904047

k1[11] = 0.727537	k2[11] = 0.831437	k3[11] = 0.691602	k4[11] = 0.722556

k1[12] = 0.817101	k2[12] = 0.831437	k3[12] = 0.781750	k4[12] = 0.792478

k1[13] = 0.781629	k2[13] = 0.831437	k3[13] = 0.752623	k4[13] = 0.779237

k1[14] = 0.867405	k2[14] = 0.831437	k3[14] = 0.848530	k4[14] = 0.861179

